es_id,authors,title,year,source,type,discipline,study_nr,ai_label,consumer_response,autonomy,performance,anthropomorphism,uniqueness_recognition,application_domain,task_objectivity,task_consequentiality,human_benchmark,ai_explanation,field_setting,stimulus_presentation,incentive_compatibility,behavioral_dv,within_subject_design,online_sample,average_age,percentage_females,geographical_background,familiarity,n1,n2,n,p_value,cohens_d
1,"castelo, bos, & lehmann",task-dependent algorithm aversion,2019,journal of marketing research,journal publication,marketing,2,ai algorithms,behavioral,extensive,NA,absent,absent,entertainment & lifestyle,subjective,low,expert,absent,yes,perceptually rich,yes,yes,no,no,NA,40,NA,no,10398,10398,20796,< 0.001,-0.6308
2,"castelo, bos, & lehmann",task-dependent algorithm aversion,2019,journal of marketing research,journal publication,marketing,2,ai algorithms,behavioral,extensive,NA,absent,absent,investing & finance,objective,low,expert,absent,yes,perceptually rich,yes,yes,no,no,NA,40,NA,no,10398,10398,20796,0.092,-0.0818
3,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,1,ai systems,behavioral,extensive,equivalent,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,no,no,19.6,54.9,america,no,114,114,228,0.03,-0.2806
4,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,2,ai systems,behavioral,extensive,equivalent,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,33.6,55.3,NA,no,51,52,103,0.001,-0.694
5,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,5,ai robots,behavioral,extensive,equivalent,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,36.9,48.1,NA,no,143,143,286,< 0.001,-1.3171
6,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,6,ai systems,behavioral,extensive,equivalent,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,40.5,45.7,NA,no,121,122,243,< 0.001,-0.571
7,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,6,ai systems,affective,extensive,equivalent,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,40.5,45.7,NA,no,121,122,243,< 0.001,-0.889
8,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,7,ai systems,behavioral,extensive,equivalent,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,39.2,43.7,NA,no,147,147,294,0.001,-0.392
9,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,8,ai systems,behavioral,extensive,equivalent,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,35,46.9,NA,no,201,200,401,< 0.001,-0.5898
10,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,9,ai assistants,behavioral,extensive,equivalent,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,39.4,54.3,NA,no,66,66,132,0.53,0.114
11,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,9,ai assistants,behavioral,extensive,equivalent,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,39.4,54.3,NA,no,66,66,132,0.017,-0.42
12,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,3A,ai robots,affective,extensive,NA,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,35.5,47.6,NA,no,102,103,205,< 0.001,-0.7765
13,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,3B,ai robots,affective,extensive,NA,present,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,35.4,43.9,NA,no,113,114,227,< 0.001,-1.0684
14,"longoni, bonezzi, & morewedge",resistance to medical artificial intelligence,2019,journal of consumer research,journal publication,marketing,3C,ai robots,affective,extensive,NA,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,37,44.6,NA,no,117,118,235,< 0.001,-0.8402
15,"logg, minson, & moore",algorithm appreciation: people prefer algorithmic to human judgment,2019,organizational behavior and human decision processes,journal publication,management,1A,ai algorithms,behavioral,limited,NA,absent,absent,other,objective,low,non-expert,absent,no,text only,yes,yes,no,no,28,45,NA,no,101,101,202,0.003,0.42
16,"logg, minson, & moore",algorithm appreciation: people prefer algorithmic to human judgment,2019,organizational behavior and human decision processes,journal publication,management,1B,ai algorithms,behavioral,limited,NA,absent,absent,entertainment & lifestyle,subjective,low,non-expert,absent,no,text only,yes,yes,no,no,31,53,NA,no,107,108,215,< 0.001 (< 0.001),0.8
17,"logg, minson, & moore",algorithm appreciation: people prefer algorithmic to human judgment,2019,organizational behavior and human decision processes,journal publication,management,1C,ai algorithms,behavioral,limited,NA,absent,absent,entertainment & lifestyle,subjective,low,non-expert,absent,no,text only,no,yes,no,no,37,55,NA,no,143,143,286,0.001,0.44
18,"logg, minson, & moore",algorithm appreciation: people prefer algorithmic to human judgment,2019,organizational behavior and human decision processes,journal publication,management,2,ai algorithms,behavioral,limited,NA,absent,absent,other,objective,low,non-expert,absent,no,text only,no,yes,no,no,21,68,america,no,51,51,102,0.038,0.44
19,"logg, minson, & moore",algorithm appreciation: people prefer algorithmic to human judgment,2019,organizational behavior and human decision processes,journal publication,management,4,ai algorithms,behavioral,limited,NA,absent,absent,operations & management,objective,low,non-expert,absent,no,text only,yes,yes,no,no,40,42,NA,yes,171,172,343,0.002,0.29
20,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,1,ai algorithms,affective,extensive,NA,absent,present,NA,NA,high,expert,absent,no,text only,no,no,yes,no,18.75,69,america,no,NA,NA,80,< 0.001,-1.476
21,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,1,ai algorithms,cognitive,extensive,NA,absent,present,NA,NA,high,expert,absent,no,text only,no,no,yes,no,18.75,69,america,no,NA,NA,80,< 0.001,-0.774
22,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,1,ai algorithms,affective,extensive,NA,absent,present,NA,NA,high,expert,absent,no,text only,no,no,yes,no,18.75,69,america,no,NA,NA,80,< 0.001,-1.042
23,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,1,ai algorithms,affective,extensive,NA,absent,present,NA,NA,high,expert,absent,no,text only,no,no,yes,no,18.75,69,america,no,NA,NA,80,< 0.001,-1.051
24,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,2,ai algorithms,affective,extensive,NA,absent,present,operations & management,objective,low,expert,absent,no,text only,no,no,yes,no,21.85,55,america,no,NA,NA,75,< 0.001,-0.892
25,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,2,ai algorithms,cognitive,extensive,NA,absent,present,operations & management,objective,low,expert,absent,no,text only,no,no,yes,no,21.85,55,america,no,NA,NA,75,0.15,-0.241
26,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,2,ai algorithms,affective,extensive,NA,absent,present,operations & management,objective,low,expert,absent,no,text only,no,no,yes,no,21.85,55,america,no,NA,NA,75,0.41,-0.137
27,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,2,ai algorithms,affective,extensive,NA,absent,present,operations & management,objective,low,expert,absent,no,text only,no,no,yes,no,21.85,55,america,no,NA,NA,75,0.13,-0.588
28,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,3,ai algorithms,affective,extensive,NA,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,yes,no,33.12,78,america,no,NA,NA,80,0.001,-0.569
29,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,3,ai algorithms,cognitive,extensive,NA,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,yes,no,33.12,78,america,no,NA,NA,80,0.006,-0.446
30,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,3,ai algorithms,affective,extensive,NA,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,yes,no,33.12,78,america,no,NA,NA,80,0.01,-0.411
31,"eastwood, snook, & luther",what people want from their professionals: attitudes toward decision-making strategies,2012,journal of behavioral decision making,journal publication,psychology,3,ai algorithms,affective,extensive,NA,absent,present,healthcare,objective,high,expert,absent,no,text only,no,no,yes,no,33.12,78,america,no,NA,NA,80,0.009,-0.427
32,prahl & van swol,understanding algorithm aversion: when is advice from automation discounted?,2017,journal of forecasting,journal publication,management,1,ai systems,behavioral,limited,equivalent,absent,absent,operations & management,objective,low,expert,absent,no,text only,yes,yes,no,no,NA,73.9,america,no,67,90,157,0.99 (0.07),0.049
33,prahl & van swol,understanding algorithm aversion: when is advice from automation discounted?,2017,journal of forecasting,journal publication,management,1,ai systems,affective,limited,equivalent,absent,absent,operations & management,objective,low,expert,absent,no,text only,yes,no,no,no,NA,73.9,america,no,67,90,157,0.436,0.126
34,prahl & van swol,understanding algorithm aversion: when is advice from automation discounted?,2017,journal of forecasting,journal publication,management,1,ai systems,affective,limited,equivalent,absent,absent,operations & management,objective,low,expert,absent,no,text only,yes,no,no,no,NA,73.9,america,no,67,90,157,0.743,0.041
35,"oenkal, goodwin, thomson, goenuel, & pollock",the relative influence of advice from human experts and statistical methods on forecast adjustments,2009,journal of behavioral decision making,journal publication,psychology,1,ai algorithms,behavioral,limited,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,yes,no,no,NA,45,asia,no,38,38,76,0.001,-0.823
36,"oenkal, goodwin, thomson, goenuel, & pollock",the relative influence of advice from human experts and statistical methods on forecast adjustments,2009,journal of behavioral decision making,journal publication,psychology,1,ai algorithms,affective,limited,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,no,NA,45,asia,no,38,38,76,0.024,-0.528
37,"oenkal, goodwin, thomson, goenuel, & pollock",the relative influence of advice from human experts and statistical methods on forecast adjustments,2009,journal of behavioral decision making,journal publication,psychology,1,ai algorithms,cognitive,limited,NA,absent,absent,operations & management,objective,low,expert,absent,no,text only,no,no,no,no,NA,45,asia,no,38,38,76,0.07,-0.436
38,stein & ohler ,venturing into the uncanny valley of mind-the influence of mind attribution on the acceptance of human-like characters in a virtual reality setting,2017,cognition,journal publication,psychology,1,ai assistants,affective,extensive,NA,present,absent,entertainment & lifestyle,subjective,low,non-expert,absent,no,perceptually rich,no,no,no,no,23.6,68,europe,no,47,45,92,0.223,-0.259
39,stein & ohler ,venturing into the uncanny valley of mind-the influence of mind attribution on the acceptance of human-like characters in a virtual reality setting,2017,cognition,journal publication,psychology,1,ai assistants,NA,extensive,NA,present,absent,entertainment & lifestyle,subjective,low,non-expert,absent,no,perceptually rich,no,no,no,no,23.6,68,europe,no,47,45,92,0.847,-0.042
40,bigman & gray,people are averse to machines making moral decisions,2018,cognition,journal publication,psychology,1,ai systems,affective,extensive,NA,absent,absent,transportation,objective,high,expert,absent,no,text only,no,no,no,yes,34.36,53.3,NA,no,109,110,219,< 0.001,-1.6
41,bigman & gray,people are averse to machines making moral decisions,2018,cognition,journal publication,psychology,2,ai systems,affective,extensive,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,perceptually rich,no,no,no,yes,35.89,62.7,NA,no,120,120,240,< 0.001,-1.61
42,bigman & gray,people are averse to machines making moral decisions,2018,cognition,journal publication,psychology,3,ai systems,affective,extensive,inferior,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,38.48,56.7,NA,no,113,113,226,< 0.001,-0.79
43,bigman & gray,people are averse to machines making moral decisions,2018,cognition,journal publication,psychology,4A,ai systems,affective,extensive,inferior,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,yes,35.83,57.4,NA,no,118,119,237,< 0.001,-1.26
44,bigman & gray,people are averse to machines making moral decisions,2018,cognition,journal publication,psychology,4B,ai systems,affective,extensive,superior,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,yes,36.25,59.7,NA,no,111,111,222,< 0.001,-1.03
45,bigman & gray,people are averse to machines making moral decisions,2018,cognition,journal publication,psychology,5,ai systems,affective,extensive,NA,absent,absent,legal & public safety,objective,high,expert,absent,no,text only,no,no,no,yes,37.27,60.4,NA,no,229,230,459,< 0.001,-1.504
46,bigman & gray,people are averse to machines making moral decisions,2018,cognition,journal publication,psychology,6,ai systems,affective,extensive,inferior,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,35.27,50.6,NA,no,107,107,214,< 0.001,-0.62
47,bigman & gray,people are averse to machines making moral decisions,2018,cognition,journal publication,psychology,9,ai systems,affective,extensive,NA,absent,absent,healthcare,objective,high,expert,absent,no,text only,no,no,no,yes,35.8,58.9,NA,no,204,205,409,< 0.001,-0.382
